Id,Name,Description,ProviderBarId,IsAdminApproved
87,Cava,"a sparkling wine of denominación de origen (DO) status from Spain. It may be white (blanco) or rosé (rosado). The Macabeo, Parellada and Xarel·lo are the most popular and traditional grape varieties for producing cava.Chardonnay and Malvasia are also permitted. Authorized red grapes are Garnacha tinta, Monastrell, Trepat, and Pinot Noir. Only wines produced in the traditional method may be labelled ""cava""; those produced by other processes may only be called ""sparkling wines"" (vinos espumosos). About 95% of all cava is produced in the Penedès area in Catalonia, Spain, with the village of Sant Sadurní d'Anoia being home to many of the largest Catalan production houses.  The two major producers are Codorníu and Freixenet. Cava is also produced in other villages in the provinces of Girona, Lleida, Tarragona, and Barcelona in Catalonia, Zaragoza in Aragon, Badajoz in Extremadura, La Rioja, Araba/Álava in the Basque Country, Navarra and València in the Valencian Community.",,1
88,Prosecco,"An Italian DOC or DOCG white wine produced in a large area spanning nine provinces in the Veneto and Friuli Venezia Giulia regions, and named after the village of Prosecco, which is in the province of Trieste, Italy. It is made from the Prosecco grape (renamed ""Glera"" in Italy in 2009) but denomination rules allow up to 15% of the wine to be other permitted varieties. Prosecco is almost always made in sparkling or semi-sparkling style (spumante and frizzante, respectively), but a still wine (tranquillo) is also permitted. Within the larger designation are two small DOCG areas, Conegliano Valdobbiadene Prosecco in the hills between the towns of Conegliano and Valdobbiadene, and Asolo Prosecco around the nearby town of Asolo. Prosecco Superiore is always spumante and comes only from these DOCG areas.",,1
89,Trento,"An appellation for white and rosé sparkling wine made in Trentino, Italy. Trentinos developed this appellation, the second in the world after Champagne, to ensure quality and distinction. Only Chardonnay, Pinot noir, and Pinot Meunier with Pinot blanc are permitted, and they must be grown in a well-defined area within the Province of TrentoA",,1
90,Espumante,"Espumante is the Portuguese version of a sparkling wine. Unlike Cava, which is produced solely in northern climates, Espumante is not only produced in the northern wet region of Vinho Verde, but also throughout Portugal all the way to the southern region of the Alentejo, known for its extreme temperatures and arid climate. While Spain has one regulating body, DOC Cava, spread across several different political regions, quality Espumante is produced solely in DOC Bairrada, located just south of Vinho Verde. In order for a wine to be certified as a quality Espumante from DOC Bairrada, it must be made in the traditional champagne (indicating the year of harvest) and stamped with the VEQPRD (Vinho Espumante de Qualidade Produzido em Região Determinada) certification.",,1
91,Dessert Wine,"Sweet wines that have a high level of sugar remaining after fermentation. There are various ways of increasing the amount of sugar in a wine, yielding products with different strengths and names. Icewine, Port, Sauternes, Tokaji Aszú, Trockenbeerenauslese, and Vin Santo are some examples.",,1
92,Ice wine,"A type of dessert wine produced from grapes that have been frozen while still on the vine. The sugars and other dissolved solids do not freeze, but the water does, allowing for a more concentrated grape juice to develop. The grapes' must is then pressed from the frozen grapes, resulting in a smaller amount of more concentrated, very sweet juice. With icewines, the freezing happens before the fermentation, not afterwards.",,1
93,Port Wine,"A Portuguese fortified wine produced in the Douro Valley of northern Portugal. It is typically a sweet red wine, often served with dessert, although it also comes in dry, semi-dry, and white varieties. Other port-style fortified wines are produced outside Portugal – in Argentina, Australia, Canada, France, India, South Africa, Spain, and the United States – but under the European Union Protected Designation of Origin guidelines, only wines from Portugal are allowed to be labelled ""port"".",,1
94,Sauternes,"A French sweet wine from the region of the same name in the Graves section in Bordeaux. Sauternes wine is made from Sémillon, sauvignon blanc, and muscadelle grapes that have been affected by Botrytis cinerea, also known as noble rot. This causes the grapes to become partially raisined, resulting in concentrated and distinctively flavored wines. Due to its climate, Sauternes is one of the few wine regions where infection with noble rot is a frequent occurrence. Even so, production is a hit-or-miss proposition, with widely varying harvests from vintage to vintage.",,1
95,Vin Santo,"A style of Italian dessert wine. Traditional in Tuscany, these wines are often made from white grape varieties such as Trebbiano and Malvasia, though Sangiovese may be used to produce a rosé style known as ""Occhio di Pernice"" or eye of the partridge. The wines may also be described as straw wines since they are often produced by drying the freshly harvested grapes on straw mats in a warm and well ventilated area of the house (however, several producers dry the grapes by hanging on racks indoors). Though technically a dessert wine, a Vin Santo can vary in sweetness levels from bone dry (like a Fino Sherry) to extremely sweet. While the style is believed to have originated in Tuscany, examples of Vin Santo can be found throughout Italy and it is an authorised style of wine for several denominazione di origine controllata (DOCs) and indicazione geografica tipica (IGTs).",,1
96,Trockenbeerenauslese,"A German botrytized wine made entirely from the individually selected grapes fully ""dried"" from Botrytis cinerea (""noble rot""), hence the name. Trockenbeerenauslese is a very sweet wine, highest among the wines of the QmP (""quality wine with distinction"") category that includes also Auslese and Beerenauslese.",,1
97,Tokaji Aszú,"AKA Tokay is the name of the wines from the Tokaj wine region (also Tokaj-Hegyalja wine region or Tokaj-Hegyalja) in Hungary or the adjoining Tokaj wine region in Slovakia. This region is noted for its sweet wines made from grapes affected by noble rot, a style of wine which has a long history in this region. The ""nectar"" coming from the grapes of Tokaj is also mentioned in the national anthem of Hungary.",,1
98,Botrytized Wine,"Wine produced from grapes affected by Noble Rot.Noble Rot is the beneficial form of a grey fungus, Botrytis cinerea, affecting wine grapes. Infestation by Botrytis requires moist conditions, but if the weather stays wet, the damaging form, ""grey rot"", can destroy crops of grapes. Grapes typically become infected with Botrytis when they are ripe. If they are then exposed to drier conditions and become partially raisined, this form of infection is known as noble rot. Grapes picked at a certain point during infestation can produce particularly fine and concentrated sweet wine.",,1
99,Madeira,"A fortified wine, produced in the Madeira Islands; varieties may be sweet or dry. It has a history dating back to the Age of Exploration when Madeira was a standard port of call for ships heading to the New World or East Indies. To prevent the wine from spoiling, neutral grape spirits were added. However, wine producers of Madeira discovered, when an unsold shipment of wine returned to the islands after a round trip, that the flavour of the wine had been transformed by exposure to heat and movement. Today, Madeira is noted for its unique winemaking process that involves heating the wine and deliberately exposing the wine to some levels of oxidation. Most countries limit the use of the term Madeira to those wines that come from the Madeira Islands, to which the European Union grants Protected designation of origin (PDO) status.",,1
100,Pastis,"An anise-flavoured spirit and apéritif traditionally from France, typically containing less than 100 g/L sugar and 40–45% ABV",,1
101,Absinthe,"An anise-flavored spirit derived from several plants, including the flowers and leaves of Artemisia absinthium (""grand wormwood""), together with green anise, sweet fennel, and other medicinal and culinary herbs. Historically described as a highly alcoholic spirit, it is 45–74% ABV or 90–148 proof in the US. Absinthe traditionally has a natural green color but may also be colorless. It is commonly referred to in historical literature as la fée verte (""the green fairy""). It is sometimes mistakenly referred to as a liqueur, but is not traditionally bottled with added sugar, so is classified as a spirit. Absinthe is traditionally bottled at a high level of alcohol by volume, but it is normally diluted with water before being consumed.",,1
102,Ouzo,"A dry anise-flavored aperitif that is widely consumed in Greece. It is made from rectified spirits that have undergone a process of distillation and flavoring. Its taste is similar to other anise liquors like pastis, sambuca, rakı and arak.",,1
103,Sambuca,"An Italian anise-flavoured liqueur. Its most common variety is often referred to as white sambuca to differentiate it from other varieties that are deep blue (black sambuca) or bright red (red sambuca). Like other anise-flavoured liqueurs, the ouzo effect is sometimes observed when combined with water.",,1
104,Beer,"An alcoholic drink produced by the brewing and fermentation of starches from cereal grains—most commonly malted barley, although wheat, maize (corn), rice, and oats are also used. The fermentation of the starch sugars in the wort produces ethanol and carbonation. Most beer is brewed with hops, which add bitterness and act as a preservative and stabilising agent. Other flavouring agents, such as gruit, herbs, or fruits, may also be used. In commercial brewing, natural carbonation is often replaced with forced carbonation.",,1
105,Mocktail,,,1
106,NA Beverage,,,1
107,Coffee,,,1
108,Tea,,,1
109,Ale,"A type of beer originating in medieval England, brewed using a warm fermentation method.[1][2] Historically, the term referred to a drink brewed without hops. As with most beers, ale typically has a bittering agent to balance the malt and act as a preservative. Ale was originally bittered with gruit, a mixture of herbs or spices boiled in the wort before fermentation. Later, hops replaced gruit as the bittering agent.",,1
110,India Pale Ale (IPA),"Stands for ""India Pale Ale"" and got its name from British sailors on six-month voyages at sea. The weather in England is drastically different from the climate in India, so the sailors wanted a beer that could handle the changing temperatures and still taste good. Those English sailors needed a beer that would stay good during the long journey from their home to India. That’s not all, though — they had to find a recipe capable of withstanding the hot, humid temperatures. The actual brewing process was difficult, or even impossible, to pull off in India’s climate, so brewing there wasn’t much of an option. The sailors found the secret weapon they were looking for in the form of hops. Hops are why IPAs are so widely known — it’s their distinctly hoppy aromas and flavors. As time went on, IPAs became more of an art form than a necessity, so different hop varieties have been created over the years to augment flavor rather than for preservation purposes.",,1
111,India Pale Lager (IPL),"The India Pale Lager is a hybrid of the American IPA with many examples giving a nod to IPAs on the west coast. Typically golden in color with some hop haze in some examples. Malt profiles are often clean and bready, allowing the focus to be on the hop varieties featured by the brewer. Bitterness levels vary, but range from moderate to high.",,1
112,Craft Beer,"A beer that has been made by craft breweries, which typically produce smaller amounts of beer, than larger ""macro"" breweries, and are often independently owned. Such breweries are generally perceived and marketed as emphasising enthusiasm, new flavours, and varied brewing techniques.",,1
113,Black India Pale Ale (BIPA),"It’s a typical IPA recipe, but utilising some darker malts. These malts not only bring the colour to the beer, but also more roasted/toasty/caramel and even chocolate or coffee notes to the beer. This, combined with a heavy dosing of hops, is what creates these unique beers. There is of course, yeast and water profiles to manage",,1
114,White India Pale Ale (WIPA),"A white IPA has a wide colour range, from light yellow to deep gold. This brew is hazy from the use of wheat in the grain bill. A large white head that lingers is a prominent feature of this beer. This brew has a moderate bitterness, with an IBU range of 40 - 70, and an ABV that is higher than the usual witbier but within the range of a typical IPA (5.5 - 7%.).",,1
115,New England India Pale Ale (NEIPA),"The New England India Pale Ale is an American IPA with intense fruit flavors and aromas, a soft body, and smooth mouthfeel, and often opaque with substantial haze. Less perceived bitterness than traditional IPAs but always massively hop forward. This emphasis on late hopping, especially dry hopping, with hops with tropical fruit qualities lends the specific ‘juicy’ character for which this style is known.",,1
116,Lager,"A type of beer brewed and conditioned at low temperature. Lagers can be pale, amber, or dark. Pale lager is the most widely consumed and commercially available style of beer.[2] The term ""lager"" comes from the German word for ""storage"", as the beer was stored before drinking, traditionally in the same cool caves in which it was fermented. As well as maturation in cold storage, most lagers are distinguished by the use of Saccharomyces pastorianus, a ""bottom-fermenting"" yeast that ferments at relatively cold temperatures.",,1
117,Pale Lager,"A pale-to-golden lager beer with a well-attenuated body and a varying degree of noble hop bitterness. In the mid-19th century, Gabriel Sedlmayr took British pale ale brewing and malt making techniques back to the Spaten Brewery in Germany and applied them to existing lagering methods. The resulting beers gradually spread around the globe to become the most common form of beer consumed in the world today.",,1
118,Pilsner,"A type of pale lager. It takes its name from the Bohemian city of Plzeň (German: Pilsen), where the world's first pale lager (now known as Pilsner Urquell) was produced in 1842 by Pilsner Urquell Brewery.",,1
119,Irish Red Ale,"Also known as red ale or Irish ale, is a style of pale ale that is brewed using a moderate amount of kilned malts and roasted barley, giving the beer its red colour. Its strength typically ranges from 3.8% to 4.8% alcohol by volume, although some craft varieties can be as high as 6%. In the United States, ""Irish red"" is sometimes used to describe a darker amber ale or a ""red"" beer that is a lager with caramel colouring. However, these beers are not Irish red ales.",,1
120,Flanders Red Ale,"AKA Flemish red-brown, is a style of sour ale brewed in West Flanders, Belgium. Flanders red ale is fermented with organisms other than Saccharomyces cerevisiae, especially Lactobacillus, which produces a sour character attributable to lactic acid. Long periods of aging are employed, a year or more, often in oak barrels, to impart a lactic acid character to the beer. Red malt is used to give the beer its colour and the matured beer is often blended with a younger batch before bottling to balance and round the character. Flanders red ales have a strong fruit flavour similar to the aroma, but more intense. Plum, prune, raisin and raspberry are the most common flavours, followed by orange and some spiciness. The sour or acidic taste can range from moderate to strong. There is no hop bitterness, but tannins are common. Consequently, Flanders red ales are often described as the most wine-like of all beers.",,1
121,Brown Ale,"A style of beer with a dark amber or brown colour. The term was first used by London brewers in the late 17th century to describe a lightly hopped ale brewed from 100% brown malt. Today brown ales are made in England, Belgium and America. Beers termed brown ale include sweet, low alcohol beers such as Manns Original Brown Ale, medium strength amber beers of moderate bitterness such as Newcastle Brown Ale, and malty but hoppy beers such as Sierra Nevada Brown Ale.",,1
122,Blonde Ale,"Blonde AKA Golden ales are very pale in colour. The term ""blonde"" for pale beers is common in Europe and South America – particularly in France, Italy, Belgium, the Netherlands, the UK, and Brazil – though the beers may not have much in common, other than colour. Blondes tend to be clear, crisp, and dry, with low-to-medium bitterness and aroma from hops, and some sweetness from malt. Fruitiness from esters may be perceived. A lighter body from higher carbonation may be noticed. In the United Kingdom, golden or summer ales were developed in the late 20th century by breweries to compete with the pale lager market. A typical golden ale has an appearance and profile similar to that of a pale lager. Malt character is subdued and the hop profile ranges from spicy to citrus; common hops include Styrian Golding and Cascade. Alcohol is in the 4% to 5% abv range. The UK style is attributed to John Gilbert, owner of Hop Back Brewery, who developed ""Summer Lightning"" in 1989, which won several awards and inspired numerous imitators.Belgian blondes are often made with pilsner malt. Some beer writers regard blonde and golden ales as distinct styles, while others do not. Duvel is a typical Belgian blonde ale, and one of the most popular bottled beers in the country[28] as well as being well known internationally.",,1
123,Amber Ale,"Amber ale is an emerging term used in Australia, France (as ambrée), Belgium and the Netherlands and North America for pale ales brewed with a proportion of amber malt and sometimes crystal malt to produce an amber colour generally ranging from light copper to light brown. A small amount of crystal or other coloured malt is added to the basic pale ale base to produce a slightly darker colour, as in some Irish and British pale ales.",,1
124,American Pale Ale (APA),"a style of pale ale developed in the United States around 1980. American pale ales are generally around 5% abv with significant quantities of American hops, typically Cascade.[2] Although American brewed beers tend to use a cleaner yeast, and American two row malt, it is particularly the American hops that distinguish an APA from British or European pale ales. The style is close to the American India Pale Ale (IPA), and boundaries blur, though IPAs are stronger and more assertively hopped. The style is also close to amber ale, though ambers are darker and maltier due to use of crystal malts.",,1
125,English Pale Ale (EPA),"AKA ""Bitter"". The term ""bitter"" has been used in England to describe pale ale since the early 19th century. Although brewers used the term ""pale ale"", before the introduction of pump clips, customers in public houses would ask for ""bitter"" to differentiate it from mild ale; by the end of the 19th century, brewers had begun to use the term as well. During the 20th century, bitter became the most popular type of draught beer sold in British pubs and has been described as ""the national drink of England"". In Scotland, bitter is known as either ""light"" or ""heavy"" depending on the strength, colour and body. Bitter is traditionally cask conditioned and either dispensed by gravity through a tap in the cask or by a beer engine at ""cellar temperature"" of 11 to 14°C (50 to 55°F). The popularity of craft brewing in North America has led to British-style bitter being brewed there since the 1980s.",,1
126,Dry Hopped,"When hops are added late in the brewing process, most often in fermentation tanks, to ramp up specific aromas and flavors without extracting more the bittering qualities of hops.",,1
127,Double / Imperial IPA (DIPA),"A double IPA is an IPA that features extra hops and malt. The added layering of hops promotes more bitterness, while the extra malt provides a more distinct toasted or caramel malt flavor. When more malt is added, the yeast has more sugar to convert to alcohol, so you end up with a stronger brew.",,1
128,Stout,"A dark, top-fermented beer style which includes dry stout, oatmeal stout, milk stout and imperial stout. The first known use of the word ""stout"" for beer is in a document dated 1677 in the Egerton Manuscripts, referring to its strength. Porters were brewed to a variety of strengths, with the stronger beers, typically 7% or 8% alcohol by volume (ABV), called ""stout porters"". The history and development of stout and porter are thus intertwined.",,1
129,Dry Stout,"Mainly in Ireland that this non-sweet or standard stout was being made. As standard stout has a drier taste than the English and American sweet stouts, they came to be called dry stout or Irish stout to differentiate them from stouts with added lactose or oatmeal. This is the style that represents a typical stout to most people. The best selling stouts worldwide are Irish stouts made by Guinness (now owned by Diageo) at St. James's Gate Brewery (also known as the Guinness Brewery) in Dublin.",,1
130,Oatmeal Stout,"Oatmeal stout is a stout with a proportion of oats, normally a maximum of 30%, added during the brewing process. Even though a larger proportion of oats in beer can lead to a bitter or astringent taste, during the medieval period in Europe, oats were a common ingredient in ale, and proportions up to 35% were standard. Despite some areas of Europe, such as Norway, still clinging to the use of oats in brewing until the early part of the 20th century, the practice had largely died out by the 16th century, so much so that in 1513 Tudor sailors refused to drink oat beer offered to them because of the bitter flavour. Many breweries were still brewing oatmeal stouts in the 1950s, for example Brickwoods in Portsmouth, Matthew Brown in Blackburn and Ushers in Trowbridge. When Michael Jackson mentioned the defunct Eldrige Pope ""Oat Malt Stout"" in his 1977 book The World Guide to Beer, oatmeal stout was no longer being made anywhere, but Charles Finkel, founder of Merchant du Vin, was curious enough to commission Samuel Smith to produce a version. Samuel Smith's Oatmeal Stout then became the template for other breweries' versions. Oatmeal stouts do not usually taste specifically of oats. The smoothness of oatmeal stouts comes from the high content of proteins, lipids (includes fats and waxes), and gums imparted by the use of oats. The gums increase the viscosity and body adding to the sense of smoothness.",,1
131,Milk Stout,"Milk stout (also called sweet stout or cream stout) is a stout containing lactose, a sugar derived from milk. Because lactose cannot be fermented by beer yeast, it adds sweetness and perceived body to the finished beer. Milk stout, which was claimed to be nutritious, was given to nursing mothers, and to help increase their milk production. The classic surviving example of milk stout is Mackeson's, for which the original brewers advertised that ""each pint contains the energising carbohydrates of 10 ounces [284 ml] of pure dairy milk"". The style was rare until being revived by a number of craft breweries in the twenty-first century.",,1
132,Chocolate Stout,"Chocolate stout is a name brewers sometimes give to certain stouts having a noticeable dark chocolate flavour through the use of darker, more aromatic malt; particularly chocolate malt—a malt that has been roasted or kilned until it acquires a chocolate colour. Sometimes, as with Muskoka Brewery's Double Chocolate Cranberry Stout, Young's Double Chocolate Stout, and Rogue Brewery's Chocolate Stout, the beers are also brewed with a small amount of chocolate, chocolate flavouring, or cacao nibs.",,1
133,Imperial Stout,"Imperial stout, also known as ""Russian Imperial stout"", is a strong dark beer in the style that was brewed in the 18th century by Thrale's Anchor Brewery in London for export to the court of Catherine II of Russia. Imperial stouts have a high alcohol content, usually over 9% abv, and are among the darkest available beer styles. Samuel Smith's brewed a version for export to the United States in the early 1980s, and today Imperial stout is among the most popular beer styles with U.S. craft brewers. American interpretations of the style often include ingredients such as vanilla beans, chili powder, maple syrup, coffee, and marshmallows. Many are aged in bourbon barrels to add additional layers of flavour. The word ""Imperial"" is now commonly added to other beer styles to denote a stronger version, hence Imperial IPAs, Imperial pilsners etc.",,1
134,Porter,"A style of beer that was developed in London, England in the early 18th century. It is well-hopped and dark in appearance owing to the use of brown malt. The name is believed to have originated from its popularity with porters. The history of stout and porter are intertwined. The name ""stout"", used for a dark beer, came about because strong porters were marketed as ""stout porter"", later being shortened to just stout.",,1
135,Witbier,"A barley/wheat, top-fermented beer brewed mainly in Belgium and the Netherlands. It gets its name due to suspended yeast and wheat proteins, which cause the beer to look hazy, or white, when cold. Today, along with hops it usually contains a blend of spices, such as coriander, orange, and bitter orange.",,1
136,Weizebier,"Literally ""white beer"", referring to the pale air-dried malt, as opposed to ""brown beer"" made from dark malt dried over a hot kiln, Weizenbier is a beer, traditionally from Bavaria, in which a significant proportion of malted barley is replaced with malted wheat. Uses at least 52% wheat to barley malt to make a light-coloured top-fermenting beer.",,1
137,Wheat Beer,"A top-fermented beer which is brewed with a large proportion of wheat relative to the amount of malted barley. The two main varieties are German Weizenbier and Belgian witbier; other types include Lambic (made with wild yeast), Berliner Weisse (a cloudy, sour beer), and Gose (a sour, salty beer).",,1
138,Lambic,"A type of beer brewed in the Pajottenland region of Belgium southwest of Brussels and in Brussels itself since the 13th century. Types of lambic beers include gueuze, kriek lambic, and framboise. Lambic differs from most other beers in that it is fermented through exposure to wild yeasts and bacteria native to the Zenne valley, as opposed to exposure to carefully cultivated strains of brewer's yeast. This process gives the beer its distinctive flavour: dry, vinous, and cidery, often with a tart aftertaste.",,1
139,Domestic,Beer produced in the United States on a much larger scale than craft beers,,1
140,Imported,Beers available for consumption in the United States but produced in another country.,,1
141,Added Lactose,The incorporation of Lactose AKA milk sugars to make beer sweeter and provide a smoother mouthfeel. Lactose is not digestable by yeast during the fermentation process so can be incorporated in controlled amounts during the fermentation process without loosing sweetness or affecting the ABV of the brew.,,1
142,Sour Ale,"Unlike modern brewing, which is done in a sanitary environment to guard against the intrusion of wild yeast, historically the starter used from one batch to another usually contained some wild yeast and bacteria. Sours are made by intentionally allowing wild yeast strains or bacteria into the brew, traditionally through the barrels or during the cooling of the wort in a coolship open to the outside air. The most common microbes used to intentionally sour beer are the bacteria Lactobacillus and Pediococcus, while the fungus Brettanomyces can also add some acidity. Another method for achieving a tart flavor is adding fruit, which directly contributes organic acids such as citric acid. Additionally, acid can be directly added to beer or added by the use of unusually large amounts of acidulated malt. Depending on the process employed, the uncertainty involved in using wild yeast may cause the beer to take months to ferment and potentially years to mature. However, modern methods allow sour beer to be created within a typical timeframe for ales, usually several days.",,1
143,Saison,"A pale ale that is highly carbonated, fruity, spicy, and often bottle conditioned. It was historically brewed with low alcohol levels, but modern productions of the style have moderate to high levels of alcohol. Along with several other varieties, it is generally classified as a farmhouse ale.",,1
144,Gose,"A warm fermented beer that originated in Goslar, Germany. It is usually brewed with at least 50% of the grain bill being malted wheat. Dominant flavours in gose include a lemon sourness, a herbal characteristic, and a strong saltiness (the result of either local water sources or added salt).Gose beers typically do not have prominent hop bitterness, flavours, or aroma. The beers typically have a moderate alcohol content of 4 to 5% ABV. Because of the use of coriander and salt, gose does not comply with the traditional ingredient regulations in German-speaking countries, but it is allowed an exemption on the grounds of being a regional specialty. It acquires its characteristic sourness through inoculation with Lactobacillus bacteria.",,1
145,Dubbel,"A Belgian Trappist beer naming convention. The origin of the dubbel was a strong version of a brown beer brewed in Westmalle Abbey in 1856, which is known to have been on sale to the public by June 1861. Dubbels are characteristically known for being dark brown in colour with a strong flavour of dark fruit including raisins, prunes, and dates. These flavours and colours are almost entirely resultant from the heavy addition of highly caramelized (or kilned) beet sugar, which ferments completely into alcohol, lightening the body of the finished beer and contributing to its dry finish.",,1
146,Tripel,"A term used by brewers mainly in the Low Countries, some other European countries, and the U.S. to describe a strong pale ale, loosely in the style of Westmalle Tripel",,1
147,Quadrupel,"A type of beer, with an alcohol by volume of 9.1% to 14.2%. There is little agreement on the status of Quadrupel as a beer style. Writer Tim Webb notes that similar beers are called Grand Cru in Belgium even though the idea is derived from the Belgian beer naming convention of that uses numerical values descriptive of the number of prominent ingredients. In other countries, particularly the United States, quadrupel or quad has become a generic trademark. The term may refer to an especially strong style of dark ale with a spicy, ripe fruit flavor.",,1
148,Mead,"An alcoholic beverage made by fermenting honey mixed with water, and sometimes with added ingredients such as fruits, spices, grains, or hops. The alcoholic content ranges from about 3.5% ABV to more than 20%. The defining characteristic of mead is that the majority of the beverage's fermentable sugar is derived from honey.[5] It may be still, carbonated, or naturally sparkling; dry, semi-sweet, or sweet.",,1
149,Cider,"An alcoholic beverage made from the fermented juice of apples. The juice of most varieties of apple, including crab apples, can be used to make cider, but cider apples are best. The addition of sugar or extra fruit before a second fermentation increases the ethanol content of the resulting beverage. Cider alcohol content varies from 1.2% to 8.5% ABV or more in traditional English ciders, and 3.5% to 12% in continental ciders.",,1
150,Perry,"An alcoholic beverage made from fermented pears. Traditional perry making is broadly similar to traditional cider making, in that the fruit is picked, crushed, and pressed to extract the juice, which is then fermented using the wild yeasts found on the fruit's skin.",,1
151,Soda,,,1
152,Juice,,,1
153,Shrub,"A sweetened vinegar-based syrup from which the cocktail is made; that syrup is also known as drinking vinegar. Drinking vinegar is often infused with fruit juice, herbs and spices, for use in mixed drinks.",,1
154,Cocktail,,,1
